Date ,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18
01/07/2019,75.65,55.8,86.022,35.2,85.91,59.95,44.31,78.93,33.98,48.925,34.483,82.38,60.13,47.15,83.89,89.005,40.1,83.006
01/08/2019,76.8,56.335,86.269,36.8,86.31,61.08,51.25,82.33,35,53.27,37.765,82.865,64.42,52.91,89.06,88.59,40.1,83.521
01/09/2019,76.9,56.87,86.515,38.8,85.4,62.21,52.13,84.51,37.31,54.02,41.048,83.35,65.01,48.15,83.35,89.493,40.1,84.035
01/10/2019,81.1,56.9,86.761,40.3,85.5,62.91,51.05,86.69,37.3,53.38,44.33,83.835,64.83,48.49,82.9,90.397,40.1,84.55
01/11/2019,76.8,56.49,87.007,38.9,89.42,61.82,48.35,81.52,25.6,51.62,39.95,84.32,60.02,48.06,65.45,91.3,40.1,85.065
01/12/2019,76.7,56.041,87.254,39.7,88.42,60.91,46.51,76.71,22.52,47.1,38.73,80.95,57.12,47.55,65.34,91.35,40.1,85.58
01/01/2020,73.5,55.592,87.5,39.45,104,60.9,40.1,71.9,20.43,45.95,39.945,74.92,55.43,47.08,64.09,95.315,40.1,81.33
01/02/2020,74.55,55.143,87.5,39.925,104.106,62.233,42.425,74.135,20.408,47.827,41.161,78.005,57.503,47.219,64.975,99.28,40.1,82.76
01/03/2020,75.6,54.694,87.5,40.4,104.211,63.567,44.75,76.37,20.387,49.703,42.376,81.09,59.577,47.358,65.86,103.245,40.1,84.19
01/04/2020,76.65,54.246,87.5,40.875,104.317,64.9,47.075,78.605,20.365,51.58,43.592,84.175,61.65,47.497,66.745,107.21,40.1,85.62
01/05/2020,77.7,53.797,87.5,41.35,104.422,66.233,49.4,80.84,20.343,53.457,44.807,87.26,63.723,47.636,67.63,111.175,40.1,87.05
01/06/2020,78.75,53.348,87.5,41.825,104.528,67.567,51.725,83.075,20.322,55.333,46.023,90.345,65.797,47.775,68.515,115.14,40.1,88.48
01/07/2020,79.8,52.899,87.5,42.3,104.633,68.9,54.05,85.31,20.3,57.21,47.238,93.43,67.87,47.914,69.4,119.105,40.1,89.91
01/08/2020,79.85,52.45,87.5,44.8,104.739,71.09,56.93,92.13,21.02,59.03,48.454,94.58,71.85,48.053,71.1,123.07,40.1,98
01/09/2020,81.175,52.975,87.5,44.9,104.844,70.243,57.815,81.815,21.485,61.115,49.669,83.953,71.375,48.192,75.255,127.035,40.1,100.1
01/10/2020,82.5,53.5,87.5,45,104.95,69.395,58.7,71.5,21.95,63.2,50.885,73.327,70.9,48.331,79.41,131,40.1,102.2
01/11/2020,83.4,49.9,87.5,44.1,102.55,68.548,54.2,78.9,19.32,54.2,52.1,62.7,65,48.47,68.17,98.15,40.1,97.11
01/12/2020,79.2,49.9,87.5,44,94,67.7,53.3,86.3,18.6,54.1,51.1,62.8,64.8,49.35,71.95,103.758,40.1,93
01/01/2021,78.25,49.9,87.5,44.475,98.06,67.5,53.65,86.9,20.375,54.25,50.2,61.95,64.35,49.46,72.32,109.367,40.1,96.56
01/02/2021,77.3,49.9,87.5,44.95,102.12,67.3,54,87.5,22.15,54.4,49.3,61.1,63.9,49.57,72.69,114.975,40.1,100.12
01/03/2021,77.1,49.74,87.5,45,99.72,68.1,55.2,88.8,18.68,55.9,52.1,62.7,65.2,50.75,74.25,120.583,40.1,104.4
01/04/2021,80.15,50.745,87.5,42.05,99.72,71.5,58.5,91.25,19.48,54.35,56.65,64.95,61.25,51.86,77.105,126.192,40.1,105.61
01/05/2021,83.2,51.75,87.5,39.1,99.72,74.9,61.8,93.7,20.28,52.8,61.2,67.2,57.3,52.97,79.96,131.8,40.1,106.82
01/06/2021,85.1,51.85,87.5,52.4,99.72,78.3,69.4,97.4,22.28,59.3,63.4,67.5,71.5,52.98,83,130.98,40.1,95.96
01/07/2021,85,52.45,87.5,55,99.72,80.2,73.2,100.4,24.64,61.2,65,69.5,73.7,53.78,85.1,128.483,40.1,111.7
01/08/2021,85.1,52.507,87.5,57.2,99.72,75.3,76.5,106,22,76.2,71.2,69.5,79,54.49,87.22,125.987,40.1,115.18
01/09/2021,85,52.563,87.5,59.8,99.72,76.8,77.2,107.4,22.83,77.6,72.9,69.7,79.5,55.2,90.3,123.49,40.1,118.3
01/10/2021,85.05,52.62,87.5,61.31,99.72,77,78,111.5,22.48,64.8,73.2,69.8,80.4,55.55,89,120.993,40.1,112.31
01/11/2021,85.1,52.2,87.5,61.95,99.72,77.5,76.5,98.5,21.25,65,71,84.9,79.8,54.9,88,118.497,40.1,115.4
01/12/2021,75.8,51.9,87.5,61.95,99.72,79.3,78.4,102.4,21.5,65.1,71.5,86.2,78.8,56,86,116,40.1,116
01/01/2022,75.05,52.1,87.5,59.6,99.72,75.4,70.8,104.1,21.5,63.5,65,87.75,75.9,53.5,86.5,116,40.1,106.5
01/02/2022,74.85,52.05,87.5,57.9,99.72,76.3,71.5,105.2,21.3,63.6,64.3,89.3,77.2,53.2,86,116,40.1,106.3
01/03/2022,74.35,51.65,87.5,57.75,99.72,79.2,74.6,108.3,21.1,64.7,66,92.1,79.5,53.2,86.1,116,40.1,102.2
01/04/2022,74.1,51.4,87.5,57.25,99.72,79,82.1,114.2,21.8,68.2,70.4,95.3,82.2,54.5,89,116,40.1,105.5
01/05/2022,75.75,52.45,87.5,60.4,99.72,78.2,81.5,115.633,23.4,67.6,73.4,92.4,80.1,54.4,91.4,116,40.1,105.5
01/06/2022,75.8,53.5,87.5,64.56,99.72,79.4,83.2,117.067,25.4,69.6,75.7,89.5,83.2,55.5,93,116,40.1,124
01/07/2022,75.9,53,87.5,66.4,99.72,80.6,82.8,118.5,26.2,70.8,77.3,91.2,85.7,58.1,95,116,40.1,129
01/08/2022,79.9,56,87.5,66.7,99.72,81.8,82.4,115.5,27,72.7,79.2,89.8,84.85,58.8,95.5,116,40.1,134
01/09/2022,80.2,56.1,87.5,69,99.72,82,82,123.3,30.2,72.9,80.2,91.3,84,58,91,116,40.1,134.5
01/10/2022,80.1,56.2,87.5,68.9,99.72,83.2,81.6,124.5,27,74.2,80.8,93.1,83.15,59,92,116,40.1,135
01/11/2022,80.3,56.5,87.5,69,99.72,82,81.2,122.1,26,73.4,78.5,91.1,82.3,59,100.2,116,40.1,134
01/12/2022,79.6,56.05,87.5,68.92,99.72,81.6,80.8,113.2,25,75.1,79.3,94.4,84,57.2,100,116,40.1,134
01/01/2023,79.1,55.6,87.5,73.95,99.72,82.2,80.4,118.7,25.3,74,77.4,92.5,82.2,57,100.5,116,40.1,129
01/02/2023,79.275,55.986,87.5,73.2,99.72,83.6,80,119.15,26.114,75.043,78.271,94.083,83.129,57.286,101.571,116,40.1,130.714
01/03/2023,79.45,56.371,87.5,72.45,99.72,85,79.6,119.6,26.929,76.086,79.143,95.667,84.057,57.571,102.643,116,40.1,132.429
01/04/2023,79.625,56.757,87.5,71.7,99.72,86.4,79.2,120.05,27.743,77.129,80.014,97.25,84.986,57.857,103.714,116,40.1,134.143
01/05/2023,79.8,57.143,87.5,70.95,99.72,87.8,78.8,120.5,28.557,78.171,80.886,98.833,85.914,58.143,104.786,116,40.1,135.857
01/06/2023,79.975,57.529,87.5,70.2,99.72,89.2,78.4,120.95,29.371,79.214,81.757,100.417,86.843,58.429,105.857,116,40.1,137.571
01/07/2023,80.15,57.914,87.5,69.45,99.72,90.6,78,121.4,30.186,80.257,82.629,102,87.771,58.714,106.929,116,40.1,139.286
01/08/2023,80.325,58.3,87.5,68.7,99.72,92,77.6,121.85,31,81.3,83.5,103.583,88.7,59,108,116,40.1,141
01/09/2023,80.5,58.75,87.5,69.2,99.72,98.2,77.2,122.3,31.5,85.7,84.4,105.167,93.1,59.2,109,116,40.1,142
01/10/2023,80.72,58.77,87.5,70,99.72,96.4,76.8,121.7,31,84.6,82.1,106.75,90.2,59.5,109,116,40.1,143
01/11/2023,81,58.8,87.5,71.1,99.72,94.3,76.4,118.8,31.8,81.9,78.5,108.333,88.4,60,109.4,116,40.1,143
01/12/2023,78,56.56,87.5,67.667,99.72,95.933,76,119.233,30.3,82.467,78.7,109.917,89.067,60.222,108.933,116,40.1,142.333
01/01/2024,75,54.32,87.5,64.233,99.72,97.567,75.6,119.667,28.8,83.033,78.9,111.5,89.733,60.444,108.467,116,40.1,141.667
01/02/2024,72,52.08,87.5,60.8,99.72,99.2,75.2,120.1,27.3,83.6,79.1,113.083,90.4,60.667,108,116,40.1,141
01/03/2024,71.5,52,87.5,63,99.72,101.4,74.8,122.3,28,85.7,80.5,114.667,93.4,60.889,102,116,40.1,134
01/04/2024,70.12,51.2,87.5,57,99.72,97.4,74.4,112.7,28.3,83.7,78.3,116.25,91.1,61.111,102.4,116,40.1,132
01/05/2024,70.2,51.8,87.5,57.1,99.72,99.1,74,113.6,29,85.4,81.2,117.833,91.3,61.333,102,116,40.1,132.5
01/06/2024,70.3,51.92,87.5,57.3,99.72,98.3,73.6,110.1,31,83.9,80.2,119.417,99.1,61.556,99,116,40.1,133
01/07/2024,70.35,51.98,87.5,57.35,99.72,102.1,73.2,115.3,33,86.5,83.7,121,97,61.778,106,116,40.1,133
01/08/2024,70.41,52,87.5,57.38,99.72,86,75.3,131,33,83,86.7,123,67,62,107,116,40.1,138.3
01/09/2024,73,53.15,87.5,58.1,99.72,89.3,77.2,131.1,32.4,85.4,87.2,126.1,69.6,62,108,116,40.1,138.3
01/10/2024,73.5,53.3,87.5,58.2,99.72,91.2,78.6,132.1,32.5,86.4,89.1,128,70.8,62.4,108.3,116,40.1,138.3
01/11/2024,73.5,53.3,87.5,58.2,99.72,91.2,78.6,132.1,32.5,86.4,89.1,128,70.8,62.4,108.3,116,40.1,138.3
01/12/2024,73.5,53.3,87.5,58.2,99.72,91.2,78.6,132.1,32.5,86.4,89.1,128,70.8,62.4,108.3,116,40.1,138.3
